trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-192.09864228511756,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9}",20,0,-184.44998931487754,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.85}",25,10,-49.01040122199981,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.8}",35,0,-144.4966378617054,"{0: 21, 1: 4, 2: 7, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.75}",20,0,-150.59202193597108,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.7}",20,0,-78.68363729351265,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999999}",25,8,-81.51761732173193,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.6}",20,0,-21.361391889614012,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.55}",30,0,-80.272981868094,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5}",20,0,3.773624412727766,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.44999999999999996}",25,13,6.367644028424037,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.3999999999999999}",20,0,5.245352949548197,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.35}",20,7,-74.85283172179071,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999993}",20,0,-13.290124843641262,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.25}",25,0,-48.48563336645641,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999996}",20,4,-1.5111361149642715,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999999}",20,0,23.649053835409457,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999998}",25,0,28.910553806552965,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.04999999999999993}",20,8,17.880860736846326,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.0}",25,14,19.6842088729582,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,0,49.1523146785201,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,17,19.612414958408625,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-5.8209648207019145,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,6.837220605509153,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,-4.297588465392625,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,14,4.591323442300311,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,4,23.55551604345744,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,39.514031657395826,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,2.846062935565893,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,11,-57.32930457950363,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
